"","state_name","pc_name","jcode","uniqueid","survey_date","cand_1","party_1","cand_2","party_2","cand_3","party_3","campaign_qual","spend_1","spend_2","spend_3","secret_1","secret_2","secret_3","secret_4","events_1","events_2","events_3","leaders_1","leaders_2","leaders_3","leaders_4","volunteers_1","volunteers_2","volunteers_3","bribe_qual","bribe_coded","target_qual","target_coded","win_1","win_2","win_3","actual_cand_name1","actual_cand_party1","actual_cand_voteshare1","actual_cand_name2","actual_cand_party2","actual_cand_voteshare2","actual_cand_name3","actual_cand_party3","actual_cand_voteshare3","in_sample","pc_num","pc_type","schedule_num","poll_date","resp_secret"
"12","Bihar","Karakat",231,"010-2",2014-04-06,"Upender Kushwaha","BJP","Rajapa","RJD","","","Sabhas, huge rallies","","","","","","","","BJP","JDU","","BJP","","","","INC","","","","","","","","","","UPENDRA KUSHWAHA","RLSP",42.9016876220703,"KANTI SINGH","RJD",29.5788097381592,"MAHABALI SINGH","JD(U)",9.71089744567871,1,35,"GEN","3B",2014-04-10,0
"13","Bihar","Patna Sahib",395,"011-1",2014-04-05,"Nisha Bharti","BJP","","UPA","","RJD","3D PRESENTATIONS HOARDINGS BANNERS MERCHANDIZERS","BJP","","","","","","","BJP","","","BJP","","","","BJP","","","HARD CASH LIQUOR COLONY LEVEL DISTRIBUTION","1,3","YOUTH RELIGIOUS LEADERS MINORITIES","7,11, 28","BJP","RJD","","SHATRUGHANA SINHA","BJP",55.0749092102051,"KUNAL SINGH","INC",24.9472370147705,"DR.GOPAL PRASAD SINHA","JD(U)",10.3171167373657,NA,30,"GEN","5",2014-04-17,0
"14","Bihar","Pataliputra",395,"011-2",2014-04-05,"Kunal Singh","UPA","Shatrugan Sinha","NDA","Dr Gol Natry","JDU","GLOSSY PAPERS HOARDINGS BANNERS MERCHANDIZERS DOOR TO DOOR","","","","","","","","JDU","","","","","","","","","","HARD CASH","1","RELIGIOUS LEADERS HINDU MINORITIES","7,8","BJP","","","RAM KRIPAL YADAV","BJP",39.1623573303223,"MISHA BHARTI","RJD",35.0421867370605,"RANJAN PRASAD YADAV","JD(U)",9.93492031097412,NA,31,"GEN","5",2014-04-17,0
"15","Bihar","Patna Sahib",305,"012-1",2014-04-09,"Shatrugan Sahib","BJP","","UPA","Praveen Anuwula","AAAP","DOOR TO DOOR CAMPAIGN ROAD CAMPAIGN","BJP","","","INC","BJP","","","AAAP","","","INC","","","","AAAP","","","BLANKETS LIQUOR CASH","1,3,4","MUSLIM DALIT MAHA DALIT","5,6","BJP","","","SHATRUGHANA SINHA","BJP",55.0749092102051,"KUNAL SINGH","INC",24.9472370147705,"DR.GOPAL PRASAD SINHA","JD(U)",10.3171167373657,NA,30,"GEN","5",2014-04-17,1
"16","Bihar","Pataliputra",305,"012-2",2014-04-09,"Ramkripal Yadav","RJD","Dr Rajan Prashad","JDU","","BJP","DOOR TO DOOR CAMPAIGN ROAD CAMPAIGN","BJP","","","BJP","INC","","","BJP","","","BJP","","","","BJP","","","BLANKETS LIQUOR MONEY CASH","1,3,4","MUSLIM DALIT MAHA DALIT","5,6","BJP","","","RAM KRIPAL YADAV","BJP",39.1623573303223,"MISHA BHARTI","RJD",35.0421867370605,"RANJAN PRASAD YADAV","JD(U)",9.93492031097412,NA,31,"GEN","5",2014-04-17,1
"17","Jharkhand","Dhanbad",318,"014-1",2014-04-09,"","BJP","","UPA","","","RALLIES","BJP","","","BJP","","","","BJP","INC","","INC","RJD","","","BJP","","","HARD CASH AND TRANSPORT","","NDA","","INC","RJD","","PASHUPATI NATH SINGH","BJP",47.5120239257812,"AJAY KUMAR DUBEY","INC",21.9019641876221,"ANAND MAHATO","MCO",9.63238143920898,NA,7,"GEN","6",2014-04-24,1
"18","Jharkhand","Giridih",318,"014-2",2014-04-09,"Rajendar Kumar Panday","BJP","Jagannath Panday","UPA","Jancharr Mehru","","","","","","INC","","","","UPA","BJP","","UPA","","","","UPA","","","","","","","UPA","","","RAVINDRA KUMAR PANDEY","BJP",40.4035263061523,"JAGARNATH MAHTO","JMM",36.2475357055664,"SABA AHMAD","JVM",5.91548204421997,1,6,"GEN","5",2014-04-17,1
"19","Bihar","Sasaram",87,"015-1",2014-04-06,"Meira Kumar","INC","Chhedi Paswan","BJP","Kp Ramiah","JDU","TRANSPORTATION OF BIG LEADERS POCKET EXPENDITURE AND PARTY WORKERS","BJP","","","","","","","BJP","RLSP","","BJP","","","","BJP","","","LIQUOR DISTRIBUTION","3","OBC ST SC","22, 23, 24","INC","","","CHHEDI PASWAN","BJP",43.2324256896973,"MEIRA KUMAR","INC",35.7539329528809,"KARRA PARASU RAMAIAH","JD(U)",11.019287109375,1,34,"SC","3B",2014-04-10,0
"20","Bihar","Karakat",87,"015-2",2014-04-06,"Upendra Kuswaha","RLSP","Kanti Singh","RJD","","JDU","POCKET EXPENDITURE, PARTY WORKERS","","","","","","","","BJP","","","BJP","","","","BJP","","","","","","","BJP","","","UPENDRA KUSHWAHA","RLSP",42.9016876220703,"KANTI SINGH","RJD",29.5788097381592,"MAHABALI SINGH","JD(U)",9.71089744567871,1,35,"GEN","3B",2014-04-10,0
"21","Madhya Pradesh","Hoshangabad",206,"016-1",2014-04-05,"","BJP","","INC","","BSP","MEDIA MANAGEMENT NEWSPAPER DOOR TO DOOR PANCHAYAT LEADERS RALLIES","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","CASH LIQUOR TO VILLAGE PEOPLE","","LADIES KISHANS MUSLIMS","","BJP","","","UDAY PRATAP SINGH","BJP",64.8898620605469,"DEVENDRA PATEL GUDDU BHAIYA","INC",27.0728054046631,"None of the Above","NOTA",1.81744122505188,1,17,"GEN","3A",2014-04-10,1
"22","Madhya Pradesh","Hoshangabad",371,"017-1",2014-04-05,"","BJP","","INC","","AAAP","DOOR TO DOOR AGENDA PAMPLHETS","INC","BJP","","","","","","BJP","","","INC","","","","BJP","","","","","YOUTH","","BJP","","","UDAY PRATAP SINGH","BJP",64.8898620605469,"DEVENDRA PATEL GUDDU BHAIYA","INC",27.0728054046631,"None of the Above","NOTA",1.81744122505188,1,17,"GEN","3A",2014-04-10,0
"23","Madhya Pradesh","Balaghat",40,"018-1",2014-04-05,"","BJP","","INC","","BSP","RALLIES PAMPHLETS","BJP","","","","","","","BJP","","","BJP","","","","INC","","","","","PAWARS","","","","","BODHSINGH BHAGAT","BJP",43.1659355163574,"HINA LIKHIRAM KAWRE","INC",34.539737701416,"ANUBHA MUNJARE","SP",8.92717933654785,1,15,"GEN","3A",2014-04-10,0
"24","Madhya Pradesh","Chhindwara",198,"019-1",2014-04-05,"","INC","","BJP","","BSP","HELICOPTERS PAMPHLETS DOOR TO DOOR CAMPAIGN BY VOLUNTEERS","INC","","","BJP","INC","","","INC","","","INC","","","","BJP","","","CASH GIFTS","","BRAHMIN, YOUTH","","INC","","","KAMAL NATH","INC",50.5423049926758,"CHOUDHARY CHANDRABHAN KUBER SINGH","BJP",40.0197563171387,"PARDESHI HARTAPSHAH TIRGAM","GGP",2.314044713974,1,16,"GEN","3A",2014-04-10,1
"25","Madhya Pradesh","Hoshangabad",204,"020-1",2014-04-05,"","BJP","","INC","","AAAP","RALLIES DOOR TO DOOR ADVERTISING MIKE","","","","","","","","BJP","","","","","","","BJP","","","RALLITES CAMPAIGN BY SPEAKER IN AUTO AND FOUR WHEELER","","MUSLIMS SCS YOUNG PEOPLE","","BJP","","","UDAY PRATAP SINGH","BJP",64.8898620605469,"DEVENDRA PATEL GUDDU BHAIYA","INC",27.0728054046631,"None of the Above","NOTA",1.81744122505188,1,17,"GEN","3A",2014-04-10,0
"26","Madhya Pradesh","Hoshangabad",328,"021-1",2014-04-05,"","BJP","","INC","","AAAP","DOOR TO DOOR CAMPAIGNS RALLIES, MIKE ANNOUNCEMENT IN AUTOS AND FOUR WHEELERS, PAMPHLETS","BJP","INC","AAAP","BJP","","","","INC","BJP","","BJP","","","","BJP","","","CASH TO IMPORTANT PEOPLE IN BJP","","MUSLIMS","","INC","","","UDAY PRATAP SINGH","BJP",64.8898620605469,"DEVENDRA PATEL GUDDU BHAIYA","INC",27.0728054046631,"None of the Above","NOTA",1.81744122505188,1,17,"GEN","3A",2014-04-10,1
"27","Madhya Pradesh","Hoshangabad",373,"022-1",2014-04-05,"","BJP","","INC","","","RALLIES PAMPHLETS HOARDING","BJP","","","","","","","BJP","","","","","","","BJP","","","RALLIES, PAMPHLETS","","KISHAN, MUSLIMS, YOUTH","","BJP","","","UDAY PRATAP SINGH","BJP",64.8898620605469,"DEVENDRA PATEL GUDDU BHAIYA","INC",27.0728054046631,"None of the Above","NOTA",1.81744122505188,1,17,"GEN","3A",2014-04-10,0
"28","Madhya Pradesh","Chhindwara",210,"023-1",2014-04-05,"","INC","","BJP","","","RALLIES","INC","","","INC","","","","INC","BJP","","INC","","","","BJP","INC","","CASH GIFTS LIQUOR","","TRIBAL, RURAL, SLUMS, YOUTH","","BJP","INC","","KAMAL NATH","INC",50.5423049926758,"CHOUDHARY CHANDRABHAN KUBER SINGH","BJP",40.0197563171387,"PARDESHI HARTAPSHAH TIRGAM","GGP",2.314044713974,1,16,"GEN","3A",2014-04-10,1
"29","Madhya Pradesh","Chhindwara",351,"024-1",2014-04-05,"","INC","","BJP","","","RALLIES AND DOOR TO DOOR CAMPAIGNING","INC","","","","","","","INC","","","","","","","INC","","","CONGRESS","","AADIVASIS","","INC","","","KAMAL NATH","INC",50.5423049926758,"CHOUDHARY CHANDRABHAN KUBER SINGH","BJP",40.0197563171387,"PARDESHI HARTAPSHAH TIRGAM","GGP",2.314044713974,1,16,"GEN","3A",2014-04-10,0
"30","Madhya Pradesh","Damoh",93,"025-1",2014-04-09,"","BJP","","INC","","AAAP","ADVERTISEMENT","BJP","","","","","","","BJP","","","BJP","","","","BJP","","","","","KUDNI SAMAJ LODHI SAMAJ","","","","","PRAHALAD SINGH PATEL","BJP",56.2537269592285,"CHOUDHARY MAHENDRA PRATAP SINGH","INC",32.8677291870117,"DEVENDRA CHAOURASIA","BSP",3.45572757720947,NA,7,"GEN","5",2014-04-17,0
"31","Madhya Pradesh","Damoh",195,"026-1",2014-04-05,"","BJP","","INC","","BSP","RS 100 GIVEN TO PEOPLE WHOSE EARNING IS LESS THAN RS. 300","BJP","","","BJP","","","","BJP","","","BJP","","","","","","","MONEY","","MINORITY PEOPLE MINOR MUSLIM PEOPLE","","BJP","","","PRAHALAD SINGH PATEL","BJP",56.2537269592285,"CHOUDHARY MAHENDRA PRATAP SINGH","INC",32.8677291870117,"DEVENDRA CHAOURASIA","BSP",3.45572757720947,NA,7,"GEN","5",2014-04-17,1
"32","Madhya Pradesh","Damoh",187,"027-1",2014-04-05,"","BJP","","INC","","AAAP","RALLIES DOOR TO DOOR CAMPAIGN","BJP","","","BJP","INC","","","BJP","","","BJP","","","","BJP","","","RALLIES","","MUSLIM PEOPLE YOUNG PEOPLE","","BJP","","","PRAHALAD SINGH PATEL","BJP",56.2537269592285,"CHOUDHARY MAHENDRA PRATAP SINGH","INC",32.8677291870117,"DEVENDRA CHAOURASIA","BSP",3.45572757720947,NA,7,"GEN","5",2014-04-17,1
"33","Orissa","Berhampur",442,"028-1",2014-04-09,"Surya Rao","INC","Tirupathi Nayak","BJP","K Narayan Rao","BJD","RALLY, PAMPHLETS, DOOR TO DOOR ADVERTISING","BJD","","","INC","BJD","BJP","","","","","BJP","BJD","","","BJD","INC","","CASH TRANSFER TO BUY VOTES","1","TRIBAL AREAS","9","BJD","INC","","SIDHANT MOHAPATRA","BJD",43.9721336364746,"CHANDRA SEKHAR SAHU","INC",29.8650703430176,"RAMA CHANDRA PANDA","BJP",17.5411605834961,1,20,"GEN","3A",2014-04-10,1
"34","Maharashtra","Amravati",165,"029-1",2014-04-09,"Navneet Rana","INC","Anand Rao Asdul","SHS","","BJP","RALLIES, ROAD SHOWS, SABHAS","","","","","","","","","","","BJP","","","","SHS","","","RALLIES","","YOUNG PEOPLE","11","SHS","BJP","BSP","ADSUL ANANDRAO VITHOBA","SHS",46.5322341918945,"NAVNEET RAVI RANA","NCP",32.7948188781738,"GUNWANT SUDAMRAO DEVPARE","BSP",9.78028202056885,1,7,"SC","3A",2014-04-10,0
"35","Orissa","Sundargarh",72,"030-1",2014-04-09,"Jualoran","BJP","Dillip Tirke","BJD","Hem Anand Biswas","INC","SHIRT PANTS, CAR MIKES, RALLY","BJD","","","BJD","","","","","","","BJD","","","","BJP","","","LIQUOR, CASH","1,3","YOUTH, WOMEN","11, 29","BJP","","","JUAL @ JUEL ORAM","BJP",33.6899452209473,"DILIP KUMAR TIRKEY","BJD",31.8270015716553,"HEMANAND BISWAL","INC",26.6480731964111,1,2,"ST","3A",2014-04-10,1
"36","Orissa","Koraput",252,"031-1",2014-04-09,"Jhino","BJD","Shiv Shankar Ulka","BJP","Giridhari Gomandha","INC","ACCRESSORIES, RAW MATERIAL, CLUBS, RALLIES","BJD","","","BJD","BJP","","","BJD","","","BJD","","","","BJD","","","CASH TRANSFER","1","YOUTH, LOCAL CLUBS, POOR PEOPLE","11, 12","BJD","BJP","","JHINA HIKAKA","BJD",39.9324264526367,"GIRIDHAR GAMANG","INC",37.9790077209473,"SIBASANKAR ULAKA","BJP",9.07459163665771,NA,21,"ST","3A",2014-04-10,1
"37","Orissa","Koraput",245,"032-1",2014-04-09,"Jhino Mana","BJD","Shivchandra Gulaka","BJP","Giridhari Gomandho","INC","ROAD SHOW, STAGE SHOWS, RALLIES","","","","","","","","INC","BJD","","BJD","INC","","","BJD","BJP","","CASH","1","YOUTH","11","INC","BJD","","JHINA HIKAKA","BJD",39.9324264526367,"GIRIDHAR GAMANG","INC",37.9790077209473,"SIBASANKAR ULAKA","BJP",9.07459163665771,NA,21,"ST","3A",2014-04-10,0
"38","Maharashtra","Bhandara-Gondiya",180,"033-1",2014-04-09,"Rahul Patel","NCP","Mana Patole","BJP","Mishram","","SPEECHES, PRINT MEDIA","NCP","","","NCP","","","","NCP","","","NCP","","","","NCP","","","LIQUOR, CASH","1,3","RURAL PEOPLE, DALIT VOTERS","","BJP","","","NANABHAU FALGUNRAO PATOLE","BJP",50.6290550231934,"PATEL PRAFUL MANOHARBHAI","NCP",38.1620903015137,"ENG. SANJAY RAGHUNATH NASARE","BSP",4.25644588470459,1,11,"GEN","3A",2014-04-10,1
"39","Orissa","Koraput",234,"034-1",2014-04-09,"Giridhar Gamango","INC","Shiv Shankar Ulka","BJP","Jhino Hikaka","BJD","PAMPLHETS, HOARDINGS, DOOR TO DOOR","BJD","INC","","INC","BJD","","","BJD","INC","","BJD","","","","BJD","INC","","","","POOR, OLD PEOPLE","12, 14","BJD","","","JHINA HIKAKA","BJD",39.9324264526367,"GIRIDHAR GAMANG","INC",37.9790077209473,"SIBASANKAR ULAKA","BJP",9.07459163665771,NA,21,"ST","3A",2014-04-10,1
"40","Maharashtra","Bhandara-Gondiya",170,"035-1",2014-04-09,"Narapatone","BJP","Rashul Patel","UPA","Shamis","","RALLIES, ADVERTISEMENT","NCP","INC","","NCP","","","","BJP","","","INC","NCP","","","NCP","INC","","VEHICLE RENTAL, CASH DISTRIBUTION TO WORKERS","1,7","YOUTH FIRST TIME VOTERS","11, 26","NCP","INC","","NANABHAU FALGUNRAO PATOLE","BJP",50.6290550231934,"PATEL PRAFUL MANOHARBHAI","NCP",38.1620903015137,"ENG. SANJAY RAGHUNATH NASARE","BSP",4.25644588470459,1,11,"GEN","3A",2014-04-10,1
"41","Maharashtra","Yavatmal-Washim",18,"036-1",2014-04-10,"Shivajaram Hoge","INC","Mahavanal Gowre Bhavana Gowli","SHS","Raju Pottis Raje","MNS","NEWSPAPER, TV ADS","SHS","","","SHS","","","","SHS","","","INC","","","","INC","","","MONEY, LIQUOR, HIRING ATTENDANCE FOR MEETINGS","1,3","VULNERABLE SECTIONS, LABORERS, POOR PEOPLE","12, 15, 30","SHS","","","GAWALI BHAVANA PUNDLIKRAO","SHS",46.2660789489746,"ADV.SHIVAJIRAO SHIVARAMJI MOGHE","INC",37.1837348937988,"RATHOD BALIRAM PARASHRAM","BSP",4.74186038970947,1,14,"GEN","3A",2014-04-10,1
"42","Maharashtra","Buldhana",362,"037-1",2014-04-10,"Balasahib Barahe","","Jadav","SHS","Krishna Raj Ingre","INC","RALLIES, VEHICLES WITH ADVERTISEMENTS, TV ADS, SOCIAL MEDIA, PAPER ADS","SHS","INC","","SHS","","","","INC","NCP","","NCP","","","","SHS","NCP","","CASH DISTRIBUTION","1","POOR PEOPLE, VULNERABLE POPULATIONS","12, 30","","","","JADHAV PRATAPRAO GANPATRAO","SHS",52.0265159606934,"INGLE KRUSHANARAO GANPATRAO","NCP",35.7200813293457,"ABDUL  HAFEEZ ABDUL AZIZ","BSP",3.45208477973938,NA,5,"GEN","3A",2014-04-10,1
"43","Madhya Pradesh","Mandla",209,"038-1",2014-04-09,"","BJP","Markam","INC","","","SPEECHES","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","CASH","1","AGRICULTURAL HOUSEHOLDS","16","BJP","","","FAGGAN SINGH KULASTE","BJP",48.0682258605957,"OMKAR SINGH MARKAM","INC",39.0023765563965,"ANUJ GANGA SINGH PATTA","GGP",4.6426887512207,1,14,"ST","3A",2014-04-10,1
"44","Madhya Pradesh","Balaghat",209,"038-2",2014-04-09,"Bharat","BJP","Hena Kaur","INC","Anubhav","SP","RALLIES, SPEECHES","BJP","INC","","BJP","","","","INC","","","BJP","","","","BJP","","","CASH","1","AGRICULTURAL HOUSEHOLDS","16","INC","","","BODHSINGH BHAGAT","BJP",43.1659355163574,"HINA LIKHIRAM KAWRE","INC",34.539737701416,"ANUBHA MUNJARE","SP",8.92717933654785,1,15,"GEN","3A",2014-04-10,1
"45","Orissa","Kandhamal",262,"039-1",2014-04-08,"Harihara Karana","INC","Hemendra Chandra Singh","BJD","Sukanta Kr Panigrahi","BJP","BANNERS, POSTERS, MICS, VEHICLES","","","","INC","BJD","","","BJD","","","BJD","","","","BJD","","","GIFTS AND CASH","1,8","ALL VOTERS","17","INC","BJD","","HEMENDRA CHANDRA SINGH","BJD",50.2085380554199,"HARIHAR KARAN","INC",28.6438770294189,"SUKANTA KUMAR PANIGRAHI","BJP",12.9547367095947,1,13,"GEN","3A",2014-04-10,1
"46","Orissa","Kandhamal",248,"040-1",2014-04-08,"Harihara Karana","INC","Hemendra Chandra Singh","BJD","Sukanta Parigrahi","BJP","PROPAGANDA","BJD","","","BJD","","","","BJD","","","BJP","","","","INC","BJD","BJP","BOOTH AGENTS ORGANIZING VOTERS","","UNEDUCATED PEOPLE IN RURAL AREAS AND YOUTH IN URBAN AREAS","13, 11","BJD","INC","","HEMENDRA CHANDRA SINGH","BJD",50.2085380554199,"HARIHAR KARAN","INC",28.6438770294189,"SUKANTA KUMAR PANIGRAHI","BJP",12.9547367095947,1,13,"GEN","3A",2014-04-10,1
"47","Orissa","Sundargarh",261,"041-1",2014-04-08,"","BJP","","BJD","","INC","RALLIES","BJD","","","","","","","BJD","","","BJD","","","","BJD","","","","","","","","","","JUAL @ JUEL ORAM","BJP",33.6899452209473,"DILIP KUMAR TIRKEY","BJD",31.8270015716553,"HEMANAND BISWAL","INC",26.6480731964111,1,2,"ST","3A",2014-04-10,0
"48","Maharashtra","Chandrapur",17,"042-1",2014-04-09,"Sanjay Deotale","INC","Hansraj Gangaram","BJP","Wamanrao Sudaishinao","AAAP","RALLIES","BJP","","","BJP","","","","BJP","","","BJP","","","","BJP","","","GIVING MONEY TO BOOTH COMMITTEES","1","DALIT, KURMI, KSHETRANI FARMERS","6, 20","INC","BJP","","AHIR HANSRAJ GANGARAM","BJP",45.7807807922363,"DEOTALE SANJAY WAMANRAO","INC",24.4903545379639,"CHATAP WAMANRAO SADASHIV","AAAP",18.4198513031006,1,13,"GEN","3A",2014-04-10,1
"49","Maharashtra","Gadchiroli-Chimur",17,"042-2",2014-04-09,"Dr Namdeo Usendi","INC","Ashok Nete","BJP","Ramrao Ranawne","BSP","PUBLIC MEETINGS","INC","","","INC","","","","INC","","","INC","BJP","","","BJP","","","HIRING PEOPLE FOR RALLIES AT 300 PER DAY","1","TRIBALS","9","BJP","","","ASHOK MAHADEORAO NETE","BJP",52.1825408935547,"DR. NAMDEO DALLUJI USENDI","INC",29.1211719512939,"RAMRAO GOVINDA NANNAWARE","BSP",6.51388502120972,1,12,"ST","3A",2014-04-10,1
"50","Maharashtra","Gadchiroli-Chimur",16,"043-1",2014-04-09,"Dr Namdeo Usendi","INC","Ashok Nehte","BJP","Ramrao Ranawne","BSP","ROAD SHOW, PUBLIC MEETINGS, GRASSROOTS DOOR TO DOOR CAMPAIGNING","INC","","","INC","","","","INC","","","BJP","INC","","","BJP","","","HIRING PEOPLE AT 300 PER DAY, FORMING 50 WOMEN GROUPSL FOR GOING SLUM AND HAMLETS","1","TRIBALS, EDUCATED GOND, DALIT VOTERS","9,6","BJP","","","ASHOK MAHADEORAO NETE","BJP",52.1825408935547,"DR. NAMDEO DALLUJI USENDI","INC",29.1211719512939,"RAMRAO GOVINDA NANNAWARE","BSP",6.51388502120972,1,12,"ST","3A",2014-04-10,1
"51","Maharashtra","Ramtek",15,"044-1",2014-04-09,"Mukul","INC","Kripal","SHS","","","DOOR TO DOOR CAMPAIGNING","INC","SHS","","INC","SHS","","","INC","SHS","","INC","","","","INC","","","MONEY AND LIQUOR","1,3","POOR, LOWER CLASS, SOME UPPER CLASS","12, 19, 22, 23","SHS","","","KRUPAL BALAJI TUMANE","SHS",49.4986267089844,"MUKUL WASNIK","INC",32.7616653442383,"KIRAN PREM KUMAR RODGE (PATANKAR)","BSP",9.0497522354126,NA,9,"SC","3A",2014-04-10,1
